driverId,driver,raceId,gp,practicesession,lapno,is_p,laptime
817,Daniel RICCIARDO,1031,austrian-grand-prix,3,1,FALSE,12:16:36
817,Daniel RICCIARDO,1031,austrian-grand-prix,3,2,FALSE,01:05.5
817,Daniel RICCIARDO,1031,austrian-grand-prix,3,3,FALSE,01:48.5
817,Daniel RICCIARDO,1031,austrian-grand-prix,3,4,FALSE,01:05.4
817,Daniel RICCIARDO,1031,austrian-grand-prix,3,5,TRUE,01:36.7
817,Daniel RICCIARDO,1031,austrian-grand-prix,3,6,FALSE,23:33.4
817,Daniel RICCIARDO,1031,austrian-grand-prix,3,7,FALSE,01:05.1
817,Daniel RICCIARDO,1031,austrian-grand-prix,3,8,FALSE,01:44.7
817,Daniel RICCIARDO,1031,austrian-grand-prix,3,9,FALSE,01:05.2
817,Daniel RICCIARDO,1031,austrian-grand-prix,3,10,TRUE,01:19.1
817,Daniel RICCIARDO,1031,austrian-grand-prix,3,11,FALSE,09:43.1
817,Daniel RICCIARDO,1031,austrian-grand-prix,3,12,FALSE,01:32.7
817,Daniel RICCIARDO,1031,austrian-grand-prix,3,13,TRUE,01:40.5
849,Nicholas LATIFI,1031,austrian-grand-prix,3,1,FALSE,12:18:11
849,Nicholas LATIFI,1031,austrian-grand-prix,3,2,FALSE,01:07.7
849,Nicholas LATIFI,1031,austrian-grand-prix,3,3,FALSE,01:32.8
849,Nicholas LATIFI,1031,austrian-grand-prix,3,4,FALSE,01:07.0
849,Nicholas LATIFI,1031,austrian-grand-prix,3,5,FALSE,01:32.5
842,Pierre GASLY,1031,austrian-grand-prix,3,1,TRUE,12:02:45
842,Pierre GASLY,1031,austrian-grand-prix,3,2,FALSE,17:32.2
842,Pierre GASLY,1031,austrian-grand-prix,3,3,FALSE,01:06.0
842,Pierre GASLY,1031,austrian-grand-prix,3,4,FALSE,01:41.7
842,Pierre GASLY,1031,austrian-grand-prix,3,5,FALSE,17:59.0
842,Pierre GASLY,1031,austrian-grand-prix,3,6,FALSE,01:06.2
842,Pierre GASLY,1031,austrian-grand-prix,3,7,FALSE,01:32.7
842,Pierre GASLY,1031,austrian-grand-prix,3,8,FALSE,01:05.9
842,Pierre GASLY,1031,austrian-grand-prix,3,9,TRUE,01:13.0
842,Pierre GASLY,1031,austrian-grand-prix,3,10,FALSE,07:08.8
842,Pierre GASLY,1031,austrian-grand-prix,3,11,FALSE,01:04.9
842,Pierre GASLY,1031,austrian-grand-prix,3,12,FALSE,01:27.7
842,Pierre GASLY,1031,austrian-grand-prix,3,13,FALSE,01:05.6
842,Pierre GASLY,1031,austrian-grand-prix,3,14,FALSE,01:11.4
842,Pierre GASLY,1031,austrian-grand-prix,3,15,FALSE,01:07.9
842,Pierre GASLY,1031,austrian-grand-prix,3,16,FALSE,01:08.0
842,Pierre GASLY,1031,austrian-grand-prix,3,17,FALSE,01:31.9
842,Pierre GASLY,1031,austrian-grand-prix,3,18,TRUE,01:48.9
840,Lance STROLL,1031,austrian-grand-prix,3,1,FALSE,12:20:22
840,Lance STROLL,1031,austrian-grand-prix,3,2,FALSE,01:05.5
840,Lance STROLL,1031,austrian-grand-prix,3,3,FALSE,01:33.5
840,Lance STROLL,1031,austrian-grand-prix,3,4,FALSE,12:21.8
840,Lance STROLL,1031,austrian-grand-prix,3,5,FALSE,01:05.5
840,Lance STROLL,1031,austrian-grand-prix,3,6,FALSE,01:22.8
840,Lance STROLL,1031,austrian-grand-prix,3,7,FALSE,01:05.7
840,Lance STROLL,1031,austrian-grand-prix,3,8,TRUE,01:18.4
840,Lance STROLL,1031,austrian-grand-prix,3,9,FALSE,10:11.6
840,Lance STROLL,1031,austrian-grand-prix,3,10,FALSE,01:04.9
840,Lance STROLL,1031,austrian-grand-prix,3,11,FALSE,01:30.1
840,Lance STROLL,1031,austrian-grand-prix,3,12,FALSE,01:24.1
840,Lance STROLL,1031,austrian-grand-prix,3,13,FALSE,01:05.2
840,Lance STROLL,1031,austrian-grand-prix,3,14,TRUE,01:19.3
840,Lance STROLL,1031,austrian-grand-prix,3,15,FALSE,03:29.1
840,Lance STROLL,1031,austrian-grand-prix,3,16,FALSE,01:34.5
826,Daniil KVYAT,1031,austrian-grand-prix,3,1,TRUE,12:02:12
826,Daniil KVYAT,1031,austrian-grand-prix,3,2,FALSE,14:41.4
826,Daniil KVYAT,1031,austrian-grand-prix,3,3,FALSE,01:06.2
826,Daniil KVYAT,1031,austrian-grand-prix,3,4,FALSE,01:24.5
826,Daniil KVYAT,1031,austrian-grand-prix,3,5,FALSE,01:05.9
826,Daniil KVYAT,1031,austrian-grand-prix,3,6,FALSE,01:30.6
826,Daniil KVYAT,1031,austrian-grand-prix,3,7,FALSE,01:06.7
826,Daniil KVYAT,1031,austrian-grand-prix,3,8,FALSE,12:43.7
826,Daniil KVYAT,1031,austrian-grand-prix,3,9,FALSE,01:08.8
826,Daniil KVYAT,1031,austrian-grand-prix,3,10,FALSE,01:08.3
826,Daniil KVYAT,1031,austrian-grand-prix,3,11,FALSE,01:07.9
826,Daniil KVYAT,1031,austrian-grand-prix,3,12,TRUE,01:18.8
826,Daniil KVYAT,1031,austrian-grand-prix,3,13,FALSE,10:07.8
826,Daniil KVYAT,1031,austrian-grand-prix,3,14,FALSE,01:05.5
826,Daniil KVYAT,1031,austrian-grand-prix,3,15,FALSE,01:26.8
826,Daniil KVYAT,1031,austrian-grand-prix,3,16,FALSE,01:05.3
826,Daniil KVYAT,1031,austrian-grand-prix,3,17,FALSE,01:28.6
826,Daniil KVYAT,1031,austrian-grand-prix,3,18,FALSE,01:05.6
826,Daniil KVYAT,1031,austrian-grand-prix,3,19,FALSE,01:28.5
826,Daniil KVYAT,1031,austrian-grand-prix,3,20,FALSE,01:05.7
826,Daniil KVYAT,1031,austrian-grand-prix,3,21,FALSE,01:20.2
826,Daniil KVYAT,1031,austrian-grand-prix,3,22,FALSE,01:36.9
826,Daniil KVYAT,1031,austrian-grand-prix,3,23,TRUE,01:51.5
1,Lewis HAMILTON,1031,austrian-grand-prix,3,1,FALSE,12:17:36
1,Lewis HAMILTON,1031,austrian-grand-prix,3,2,FALSE,01:05.7
1,Lewis HAMILTON,1031,austrian-grand-prix,3,3,FALSE,01:33.0
1,Lewis HAMILTON,1031,austrian-grand-prix,3,4,FALSE,01:05.1
1,Lewis HAMILTON,1031,austrian-grand-prix,3,5,FALSE,01:33.5
1,Lewis HAMILTON,1031,austrian-grand-prix,3,6,FALSE,12:24.9
1,Lewis HAMILTON,1031,austrian-grand-prix,3,7,FALSE,01:05.2
1,Lewis HAMILTON,1031,austrian-grand-prix,3,8,TRUE,01:18.0
1,Lewis HAMILTON,1031,austrian-grand-prix,3,9,FALSE,04:52.5
1,Lewis HAMILTON,1031,austrian-grand-prix,3,10,FALSE,01:04.1
1,Lewis HAMILTON,1031,austrian-grand-prix,3,11,FALSE,01:49.1
1,Lewis HAMILTON,1031,austrian-grand-prix,3,12,FALSE,01:28.2
1,Lewis HAMILTON,1031,austrian-grand-prix,3,13,FALSE,01:09.5
1,Lewis HAMILTON,1031,austrian-grand-prix,3,14,FALSE,01:12.6
1,Lewis HAMILTON,1031,austrian-grand-prix,3,15,FALSE,01:13.7
1,Lewis HAMILTON,1031,austrian-grand-prix,3,16,TRUE,01:19.0
1,Lewis HAMILTON,1031,austrian-grand-prix,3,17,TRUE,06:48.5
1,Lewis HAMILTON,1031,austrian-grand-prix,3,18,FALSE,01:34.7
1,Lewis HAMILTON,1031,austrian-grand-prix,3,19,FALSE,01:38.8
1,Lewis HAMILTON,1031,austrian-grand-prix,3,20,TRUE,01:49.3
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,1,FALSE,12:17:01
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,2,FALSE,01:05.4
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,3,FALSE,01:31.7
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,4,FALSE,01:18.3
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,5,FALSE,01:05.5
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,6,FALSE,01:22.1
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,7,FALSE,12:03.0
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,8,FALSE,01:05.5
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,9,TRUE,01:23.1
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,10,FALSE,04:29.3
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,11,FALSE,01:04.3
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,12,FALSE,01:26.4
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,13,FALSE,01:20.7
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,14,FALSE,01:04.7
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,15,TRUE,01:19.8
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,16,TRUE,01:55.8
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,17,FALSE,06:59.2
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,18,TRUE,01:26.9
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,19,FALSE,01:42.7
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,20,FALSE,01:43.1
822,Valtteri BOTTAS,1031,austrian-grand-prix,3,21,TRUE,01:51.5
846,Lando NORRIS,1031,austrian-grand-prix,3,1,TRUE,12:01:42
846,Lando NORRIS,1031,austrian-grand-prix,3,2,FALSE,17:52.4
846,Lando NORRIS,1031,austrian-grand-prix,3,3,FALSE,01:06.1
846,Lando NORRIS,1031,austrian-grand-prix,3,4,FALSE,01:40.6
846,Lando NORRIS,1031,austrian-grand-prix,3,5,FALSE,01:06.0
846,Lando NORRIS,1031,austrian-grand-prix,3,6,FALSE,12:12.4
846,Lando NORRIS,1031,austrian-grand-prix,3,7,FALSE,01:25.0
846,Lando NORRIS,1031,austrian-grand-prix,3,8,FALSE,01:16.5
846,Lando NORRIS,1031,austrian-grand-prix,3,9,FALSE,01:06.0
846,Lando NORRIS,1031,austrian-grand-prix,3,10,FALSE,01:32.0
846,Lando NORRIS,1031,austrian-grand-prix,3,11,TRUE,01:17.2
846,Lando NORRIS,1031,austrian-grand-prix,3,12,TRUE,01:47.3
846,Lando NORRIS,1031,austrian-grand-prix,3,13,FALSE,08:26.2
846,Lando NORRIS,1031,austrian-grand-prix,3,14,FALSE,01:04.9
846,Lando NORRIS,1031,austrian-grand-prix,3,15,FALSE,01:40.9
846,Lando NORRIS,1031,austrian-grand-prix,3,16,FALSE,01:05.2
846,Lando NORRIS,1031,austrian-grand-prix,3,17,FALSE,01:42.9
846,Lando NORRIS,1031,austrian-grand-prix,3,18,FALSE,01:05.8
846,Lando NORRIS,1031,austrian-grand-prix,3,19,FALSE,01:30.8
846,Lando NORRIS,1031,austrian-grand-prix,3,20,FALSE,01:43.9
8,Kimi RAIKKONEN,1031,austrian-grand-prix,3,1,FALSE,12:20:28
8,Kimi RAIKKONEN,1031,austrian-grand-prix,3,2,FALSE,01:06.3
8,Kimi RAIKKONEN,1031,austrian-grand-prix,3,3,FALSE,01:36.9
8,Kimi RAIKKONEN,1031,austrian-grand-prix,3,4,FALSE,13:05.7
8,Kimi RAIKKONEN,1031,austrian-grand-prix,3,5,FALSE,01:06.7
8,Kimi RAIKKONEN,1031,austrian-grand-prix,3,6,FALSE,01:30.9
